,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
1405,0.10123010635498975,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,1,0
3869,1.8593525202392263,1.2897915940941798,1.0459785964521138,-1.022951081998274,0,0,0,1,0
205,2.2256280231317755,1.2897915940941798,1.1138524884039596,-1.022951081998274,0,0,0,0,1
1434,1.0535464138756174,1.2897915940941798,0.6387352447410416,-0.7468887614761863,0,0,0,0,1
1135,-0.5580657988515988,-0.8769341163215539,1.0799155424280364,-1.022951081998274,0,1,0,0,0
3395,-0.4848106982730888,-0.8769341163215539,-1.0241751080791714,1.047516321917383,0,0,0,1,0
868,0.6140158104045588,0.20642873888631294,0.8423569205965777,-0.8849199217372301,0,0,0,1,0
701,-0.5580657988515988,-0.8769341163215539,-0.5151209184403308,0.35736052061216417,0,0,0,1,0
2640,0.17448520693349964,0.20642873888631294,-0.4133100805125624,0.21932936035112033,0,0,0,0,1
305,0.24774030751200957,0.20642873888631294,0.29936578498181443,-0.4708264409540987,0,0,0,1,0
5078,-0.851086201165638,-0.8769341163215539,0.0957441091262783,-0.3327952806930549,0,0,0,0,1
1192,-1.290616804636697,-0.8769341163215539,-0.5490578644162534,0.35736052061216417,0,0,0,1,0
5058,0.4675056092475389,0.20642873888631294,0.12968105510220088,-0.3327952806930549,0,0,0,0,1
2462,-0.4848106982730888,-0.8769341163215539,-1.2617337299106306,1.5996409629615584,0,0,0,1,0
1534,-1.1441066034796774,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,0,1
1061,0.9070362127185984,1.2897915940941798,0.9102308125484229,-0.8849199217372301,0,0,0,0,1
843,-0.9975964023226577,-0.8769341163215539,-1.329607621862476,1.7376721232226022,0,0,0,1,0
3790,-0.4848106982730888,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,1,0
3080,0.24774030751200957,0.20642873888631294,0.469050514861428,-0.6088576012151425,0,0,0,1,0
2873,-0.11853519538053964,0.20642873888631294,-0.20968840465702623,-0.056732960170967274,0,0,0,0,1
1538,-1.1441066034796774,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,0,1
211,-1.290616804636697,-0.8769341163215539,-1.0241751080791714,1.047516321917383,0,0,0,1,0
1340,0.24774030751200957,0.20642873888631294,-0.10787756672925845,-0.19476412043201108,0,0,0,0,1
1108,0.32099540809051946,0.20642873888631294,0.19755494705404608,-0.4708264409540987,0,0,0,1,0
5246,-0.11853519538053964,0.20642873888631294,-0.00606672880149008,-0.19476412043201108,0,0,0,0,1
4417,0.32099540809051946,0.20642873888631294,0.0618071631503551,-0.3327952806930549,0,0,0,1,0
679,-1.1441066034796774,-0.8769341163215539,-0.6848056483199443,0.49539168087320795,0,0,0,0,1
2858,-0.851086201165638,-0.8769341163215539,-0.6508687023440217,0.49539168087320795,0,0,0,0,1
3407,-0.851086201165638,-0.8769341163215539,-0.34543618856071723,0.08129820009007653,0,0,0,0,1
3722,-0.4848106982730888,-0.3352526887176205,-0.17575145868110364,-0.056732960170967274,0,0,0,0,1
565,0.24774030751200957,0.20642873888631294,0.26542883900589187,-0.4708264409540987,0,0,0,1,0
3125,1.3465668161896571,1.2897915940941798,0.7405460826688094,-0.8849199217372301,0,0,0,1,0
1532,-0.851086201165638,-0.8769341163215539,-0.9563012161273262,0.9094851616563394,0,0,0,0,1
4338,-0.11853519538053964,0.20642873888631294,-0.07394062075333527,-0.19476412043201108,0,0,0,0,1
680,-1.1441066034796774,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,0,1
